CNS,Dat. Instalação,Denominação,Tipo,Atribuições,Status,Situação jurídica da serventia,Data decisão,UF,Cidade,E-mail contato,Dat. ingresso responsável,Responsável,Substituto
00.007-5,05/09/1968,7º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,CURITIBA,cartorio7@cartorio7.com.br,2024-07-09,IRANI SALGADO DE SOUZA VILLEN,-
00.010-9,15/05/1981,CARTÓRIO NOSSA SENHORA DAS GRAÇAS,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,03/05/2021,PB,BONITO DE SANTA FÉ,bsfcartorio@gmail.com,2024-05-16,PAULO JOVINIANO ALVARES DOS PRAZERES,LORENA OLIVEIRA SOUSA
00.024-0,26/01/1956,Serviço Registral Imobiliário da Comarca de Jaboticatubas,Privatizada,Registro de Imóveis,Ativo,PROVIDO,10/11/2023,MG,JABOTICATUBAS,srijaboticatubas@gmail.com,2024-10-31,CÉSAR ROMERO DO CARMO,-
00.044-8,19/11/1964,Serventia Extrajudicial do Ofício Único de São José do Piauí-PI,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,04/09/2019,PI,SAO JOSE DO PIAUI,cartorio.unico.saojose@gmail.com,2019-09-04,MORGANHA PEREIRA DA SILVA LUZ,-
00.066-1,31/10/1965,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,MANDAGUACU,crimandaguacu@hotmail.com,1988-09-14,ANGELINA SILVEIRA DERCI,-
00.070-3,30/04/1903,SERVIÇO NOTARIAL E REGISTRAL DE LUÍS GOMES,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,29/08/2014,RN,LUIS GOMES,marciarochajp@hotmail.com,2024-07-25,MÁRCIA MAYSA MAIA ROCHA,GILMARA PAIVA NUNES
00.077-8,05/11/2013,2º Ofício de Registro de Imóveis da Comarca de Rio Branco/AC,Privatizada,Registro de Imóveis,Ativo,PROVIDO,09/12/2025,AC,RIO BRANCO,cartorio@segundori.com.br,2025-02-03,ANA PAULA GAVIOLI BITTENCOURT,FELIPE MARTINI BELCHIOR
00.084-4,28/01/1992,ÚNICO OFÍCIO DE MARECHAL THAUMATURGO -,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,24/06/2025,AC,MARECHAL THAUMATURGO,unicooficiomarechal@hotmail.com,2025-02-12,VICTOR MATHEUS DIAS MANACAS,-
00.085-1,29/09/2010,1º Ofício do Registro de Imóveis da Comarca de Rio Branco,Privatizada,Registro de Imóveis,Ativo,PROVIDO,28/09/2016,AC,RIO BRANCO,CRIRIOBRANCO@GMAIL.COM,2013-11-04,FABIANA FARO DE SOUZA CAMPOS TEIXEIRA,-
00.091-9,28/01/1992,Cartório Porto Walter,Privatizada,Notas / Protesto de Títulos / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,02/04/2025,AC,PORTO WALTER,cartoriopwalter@gmail.com,2025-02-01,AGATHA KRIS DOS SANTOS STORARI,MARICELO RODRIGUES LIMA JUNIOR
