loteamento;quadra;lote;rua_frente;medida_frente_m;medida_fundo_m;medida_lateral_dir_m;medida_lateral_esq_m;area_m2;conf_frente;conf_fundo;conf_lateral_dir;conf_lateral_esq
Residencial Colina Park;01;01;RUA AL. 01-A;4.0;;;;277.53;;;;
Residencial Colina Park;01;02;RUA AL. 01-A;12.0;12.02;21.37;20.77;252.79;;;;
Residencial Colina Park;01;03;RUA AL. 01-A;12.0;12.02;21.98;21.37;260.06;;;;
Residencial Colina Park;01;04;RUA AL. 01-A;12.0;;;;267.55;;;;
Residencial Colina Park;01;05;RUA AL. 01-A;12.0;12.03;23.59;22.68;277.59;;;;
Residencial Colina Park;01;06;RUA AL. 01-A;12.0;;;;288.53;;;;
Residencial Colina Park;01;07;RUA AL. 01-A;25.0;;;;362.5;;;;
Residencial Colina Park;01;08;RUA AL. 01-A;30.0;;;;326.4;;;;
Residencial Colina Park;01;09;RUA AL. 01-A;27.62;;;;575.97;;;;
Residencial Colina Park;01;10;RUA AL. 01-A;42.9;43.78;12.24;11.35;510.36;;;;
Residencial Colina Park;02;01;RUALOCAL01;23.0;;;;337.5;;;;
Residencial Colina Park;02;02;RUALOCAL01;28.0;28.0;12.0;12.0;336.0;;;;
Residencial Colina Park;02;03;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;02;04;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;02;05;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;02;06;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;02;07;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;02;08;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;02;09;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;02;10;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;02;11;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;02;12;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;02;13;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;02;14;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;02;15;RUA LOCAL 02;12.0;;;;336.0;;;;
Residencial Colina Park;02;16;RUA LOCAL 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;02;17;RUA LOCAL 02;12.0;12.0;25.0;25.0;300.0;;;;
Residencial Colina Park;02;18;RUA AL. 01-A;20.0;;;;303.31;;;;
Residencial Colina Park;02;19;RUA AL. 01-A;15.0;;;;240.15;;;;
Residencial Colina Park;02;20;RUA AL. 01-A;12.0;12.0;20.0;20.0;240.0;;;;
Residencial Colina Park;02;21;RUA AL. 01-A;3.96;;;;254.97;;;;
Residencial Colina Park;02;22;RUA AL. 01-A;13.23;12.0;26.29;20.73;282.09;;;;
Residencial Colina Park;02;23;RUA AL. 01-A;5.4;;;;336.97;;;;
Residencial Colina Park;02;24;RUALOCAL01;12.0;12.0;28.42;28.51;341.58;;;;
Residencial Colina Park;02;25;RUALOCAL01;12.0;12.0;28.34;28.42;340.55;;;;
Residencial Colina Park;02;26;RUALOCAL01;12.0;12.0;28.25;28.34;339.51;;;;
Residencial Colina Park;02;27;RUALOCAL01;12.0;12.0;28.16;28.25;338.48;;;;
Residencial Colina Park;02;28;RUALOCAL01;12.0;12.0;28.08;28.16;337.44;;;;
Residencial Colina Park;02;29;RUALOCAL01;12.0;12.0;27.99;28.08;336.41;;;;
Residencial Colina Park;02;30;RUALOCAL01;12.0;12.0;27.9;27.99;335.37;;;;
Residencial Colina Park;02;31;RUALOCAL01;12.0;12.0;27.82;27.9;334.34;;;;
Residencial Colina Park;02;32;RUALOCAL01;12.0;12.0;27.73;27.82;333.31;;;;
Residencial Colina Park;02;33;RUALOCAL01;12.0;12.0;27.65;27.73;332.27;;;;
Residencial Colina Park;02;34;RUALOCAL01;12.0;12.0;27.56;27.65;331.24;;;;
Residencial Colina Park;02;35;RUALOCAL01;12.0;12.0;27.47;27.56;330.2;;;;
Residencial Colina Park;02;36;RUALOCAL01;22.38;;;;330.36;;;;
Residencial Colina Park;03;01;RUA LOCAL 05;23.0;;;;437.43;;;;
Residencial Colina Park;03;02;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;03;03;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;03;04;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;03;05;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;03;06;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;03;07;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;03;08;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;03;09;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;03;10;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
Residencial Colina Park;03;11;RUA LOCAL 02;12.0;12.0;28.0;28.0;336.0;;;;
